gene_id,gene_name,gt,paean,salmon,kallisto,featureCounts,rsem,paean_acc,salmon_acc,kallisto_acc,featureCounts_acc,rsem_acc
ENSG00000007933.13,FMO3,49,46,29,35,46,26,93.87755102,59.18367347,71.42857143,93.87755102,53.06122449
ENSG00000183323.13,CCDC125,130,123,88,108,122,72,94.61538462,67.69230769,83.07692308,93.84615385,55.38461538
ENSG00000171724.3,VAT1L,17,14,8,11,14,3,82.35294118,47.05882353,64.70588235,82.35294118,17.64705882
ENSG00000283683.1,MYOCOS,39,32,20,18,19,13,82.05128205,51.28205128,46.15384615,48.71794872,33.33333333
ENSG00000263199.1,AC005951.1,35,30,15,20,30,8,85.71428571,42.85714286,57.14285714,85.71428571,22.85714286
ENSG00000203972.10,GLYATL3,192,180,130,157,180,102,93.75,67.70833333,81.77083333,93.75,53.125
ENSG00000201867.1,Y_RNA,2,1,0,0,1,0,50,0,0,50,0
ENSG00000246379.8,AC040168.1,112,108,89,97,104,72,96.42857143,79.46428571,86.60714286,92.85714286,64.28571429
ENSG00000110887.8,DAO,156,145,106,122,145,90,92.94871795,67.94871795,78.20512821,92.94871795,57.69230769
ENSG00000277147.6,LINC00869,53,44,26,30,31,19,83.01886792,49.05660377,56.60377358,58.49056604,35.8490566
ENSG00000133103.17,COG6,183,176,145,164,176,117,96.17486339,79.23497268,89.61748634,96.17486339,63.93442623
ENSG00000156642.17,NPTN,48,45,38,43,45,27,93.75,79.16666667,89.58333333,93.75,56.25
ENSG00000196353.11,CPNE4,90,86,72,69,86,46,95.55555556,80,76.66666667,95.55555556,51.11111111
ENSG00000111252.11,SH2B3,85,83,63,76,79,53,97.64705882,74.11764706,89.41176471,92.94117647,62.35294118
ENSG00000130023.16,ERMARD,27,26,21,25,25,18,96.2962963,77.77777778,92.59259259,92.59259259,66.66666667
ENSG00000287936.1,AL391425.1,20,19,15,18,19,13,95,75,90,95,65
ENSG00000158966.16,CACHD1,3,0,0,0,0,0,0,0,0,0,0
ENSG00000232188.1,AL354714.3,10,8,7,2,8,2,80,70,20,80,20
ENSG00000100218.12,RSPH14,57,50,1,1,1,1,87.71929825,1.754385965,1.754385965,1.754385965,1.754385965
ENSG00000143153.13,ATP1B1,41,35,22,22,35,15,85.36585366,53.65853659,53.65853659,85.36585366,36.58536585
ENSG00000163904.13,SENP2,12,9,3,2,9,0,75,25,16.66666667,75,0
ENSG00000233705.7,SLC26A4-AS1,6,5,3,0,5,0,83.33333333,50,0,83.33333333,0
